no,persona,scenario,turn_count,history,response,label,reason,reason_detail,axis
252,선후배,고민·감정 상담,3,"선배: 요즘 사람들을 만나도 혼자인 느낌이 들어요.
나: 최근에 특별히 그런 계기가 있으셨어요?
선배: 다 같이 있어도 제 얘기에는 아무도 관심이 없는 것 같아서요.",너무 크게 받아들이시는 것 같아요. 그런 건 그냥 신경 끄시면 되죠.,부적절,N2,상대의 감정이나 어려움을 축소·무시하거나 유난으로 취급함,pragmatic_issue
254,부모님,정보 공유,2,"나: 변경된 내용 있으면 말해줘.
아빠: 오늘 회의는 세 시에서 네 시로 변경됐어요","응, 변경된 내용 확인했어. 확정된 범위가 어디까지인지도 알고 싶어. 시간이나 준비해야 할 내용도 같이 바뀐 건 없어?",적절,P4,상대의 말에 자연스럽게 호응하고 관련된 질문으로 대화를 이어감,ok
255,형제·자매,질문·요청,4,"나: 지금 기준으로 정해진 게 있어?
오빠: 확인된 내용이 있어서 말해두려고.
나: 언제부터 그렇게 하면 돼?
오빠: 회의 시간이 네 시로 바뀐 거 확인했어?","응, 네 시로 변경된 것 확인했어. 다른 내용은 그대로 두면 돼.",적절,P5,과도한 감정 표현 없이도 현재 대화의 목적과 맥락에 맞게 반응함,ok
256,부모님,질문·요청,3,"아빠: 아까는 감정적으로 말해서 다시 정리하고 싶어.
나: 어떻게 했으면 좋겠어?
아빠: 다음부터 일정을 바꾸기 전에 먼저 말해줄래?",계속 이런 식이면 나도 더 이상 맞춰주지 않을 거야. 이번에는 반드시 대가를 치르게 할 거야.,부적절,N5,위협·보복·관계 단절 등을 언급해 갈등을 불필요하게 확대함,pragmatic_issue
257,직장 관계(상사·동료),업무 대화,2,"나: 업무 인수인계 과정에서 서로 다르게 이해한 부분이 있는 것 같습니다.
팀장: 제 업무를 설명 없이 다른 사람에게 넘긴 건 당황스럽네요.",한 번만 더 그러시면 더는 같이 일하지 않겠습니다. 관련자들에게 전부 문제를 제기하겠습니다.,부적절,N5,위협·보복·관계 단절 등을 언급해 갈등을 불필요하게 확대함,pragmatic_issue
258,선후배,질문·요청,1,선배: 노트북이 느려졌는데 포맷하기 전에 해볼 만한 게 있을까요?,"이 경우에는 포맷하기 전에 시작 프로그램과 저장 공간부터 정리하고, 작업 관리자에서 자원을 많이 쓰는 프로그램을 확인해봐. 재현 조건을 정리한 뒤 한 가지 조건씩 바꿔보는 게 좋아.",적절,P3,상황에 맞는 구체적인 정보나 실행 가능한 조언을 제공함,ok
259,직장 관계(상사·동료),고민·감정 상담,1,동료: 오늘은 혼자 있고 싶지 않은데 잠깐 통화해주실 수 있나요?,그건 잘 모르겠고 일단 네가 해봐. 일단 다른 방법부터 찾아봐.,부적절,N3,상대의 질문이나 요청에 답하지 않고 회피하거나 떠넘김,pragmatic_issue
260,직장 관계(상사·동료),고민·감정 상담,2,"나: 어떤 부분을 도와드리면 될까요?
팀장: 요즘 혼자 생각하면 더 복잡해져서 그런데 오늘 잠깐 얘기 들어주실 수 있나요?",아무거나 편한 대로 하면 되지 않을까요? 일단 다른 방법부터 찾아봐.,부적절,N3,상대의 질문이나 요청에 답하지 않고 회피하거나 떠넘김,pragmatic_issue
261,친구,갈등 상황,3,"친구: 아까 일 때문에 기분이 좀 상했어.
나: 어떤 부분이 불편했는데?
친구: 내가 한 일을 사람들 앞에서 웃으면서 말한 게 싫었어.",사람들 앞에서 가볍게 다뤄져서 속상했겠다. 다음에는 그러지 말아달라고 차분히 이야기해보자.,적절,P1,상대가 드러낸 감정과 상황을 인정하고 위로하거나 격려함,ok
263,직장 관계(상사·동료),업무 대화,3,"팀장: 잠깐 확인해주셨으면 하는 내용이 있습니다.
나: 네, 필요한 내용부터 말씀해주세요.
팀장: 고객사에 보내기 전에 메일 내용을 한번 검토해주세요","응, 보내줘. 표현이 어색한 부분까지 같이 확인해줄게. 완료되면 결과를 같이 확인하죠.",적절,P2,상대의 질문이나 요청에 직접 답하고 필요한 행동을 분명히 약속함,ok
264,연인,갈등 상황,1,연인: 연락 한 번 없이 늦은 건 걱정하는 사람을 생각하지 않은 행동이야,이번 일은 그냥 넘어가지 않고 모두에게 알릴 거야. 이번 일로 관계가 깨져도 상관없어.,부적절,N5,위협·보복·관계 단절 등을 언급해 갈등을 불필요하게 확대함,pragmatic_issue
265,직장 관계(상사·동료),고민·감정 상담,4,"나: 필요한 도움이 있으면 말씀해주세요.
동료: 한 가지만 도와주실 수 있을까요?
나: 어떤 내용인가요? 말씀해주세요.
동료: 요즘 혼자 생각하면 더 복잡해져서 그런데 오늘 잠깐 얘기 들어주실 수 있나요?","글쎄, 저는 지금 다른 일 보고 있어요. 일단 다른 방법부터 찾아봐.",부적절,N3,상대의 질문이나 요청에 답하지 않고 회피하거나 떠넘김,pragmatic_issue
266,직장 관계(상사·동료),업무 대화,4,"나: 아까 부탁하실 내용이 있다고 하셨죠?
팀장: 혼자 해보다가 잘 안 되는 부분이 있어요.
나: 어느 부분을 확인하면 될까요?
팀장: 이번 주 일정표에 변경된 담당자를 반영해주실 수 있나요?",알겠습니다. 변경된 내용으로 반영한 뒤 다시 확인하겠습니다. 혹시 문제가 생기면 먼저 말하겠습니다.,적절,P2,상대의 질문이나 요청에 직접 답하고 필요한 행동을 분명히 약속함,ok
267,부모님,갈등 상황,2,"나: 아까 분위기가 안 좋았는데 무슨 일이었어?
엄마: 약속을 계속 당일에 바꾸는 건 나를 전혀 고려하지 않는 것 같아",그 정도도 혼자 못 하면 뭘 할 수 있는데? 자꾸 사람을 실망시키네.,부적절,N4,상대를 직접 비난·조롱하거나 인격을 공격하는 표현을 사용함,pragmatic_issue
268,선후배,업무 대화,2,"나: 아까 연락 주신 이유가 부탁할 내용 때문인가요?
선배: 이번 주 일정표에 변경된 담당자를 반영해주실 수 있나요?",그건 다른 사람한테 물어보는 게 빠를 것 같아요. 일단 다른 방법부터 찾아봐.,부적절,N3,상대의 질문이나 요청에 답하지 않고 회피하거나 떠넘김,pragmatic_issue
269,형제·자매,고민·감정 상담,3,"동생: 아까는 감정적으로 말해서 다시 정리하고 싶어.
나: 같은 일이 없으려면 뭘 바꾸면 될까?
동생: 상대가 내 감정을 가볍게 넘긴 것 같아서 속상해",매번 같은 실수를 하는 것도 능력이다. 대체 언제쯤 제대로 할 거야?,부적절,N4,상대를 직접 비난·조롱하거나 인격을 공격하는 표현을 사용함,pragmatic_issue
270,선후배,정보 공유,4,"나: 아까 모임 예약이 취소됐다고 하셨죠?
선배: 네, 그런데 취소 사유가 제 이름으로 전달됐어요.
나: 선배님이 직접 취소한 건 아니신 거죠?
선배: 네, 누가 그렇게 전달했는지 확인이 필요해요.",본인 일도 제대로 확인하지 못하시네요. 말씀드려도 또 똑같으실 것 같아요.,부적절,N4,상대를 직접 비난·조롱하거나 인격을 공격하는 표현을 사용함,pragmatic_issue
272,친구,일상 대화,1,친구: 퇴근길에 노을이 예뻐서 사진을 한참 찍었어,직접 해보니 느낌이 달랐겠다. 직접 겪은 얘기라 더 생생하게 들린다. 사진도 찍었어? 실제로 본 색감이 더 예뻤겠다.,적절,P4,상대의 말에 자연스럽게 호응하고 관련된 질문으로 대화를 이어감,ok
273,선후배,갈등 상황,2,"나: 계속 마음에 남는 일이 있으신 것 같아요.
후배: 제가 맡은 일을 설명도 없이 다른 사람에게 넘긴 건 당황스러워요",그런 기본적인 판단도 못 하시나요? 그런 태도로 누가 이해해주겠어요?,부적절,N4,상대를 직접 비난·조롱하거나 인격을 공격하는 표현을 사용함,pragmatic_issue
274,선후배,질문·요청,2,"나: 서로 다르게 이해한 부분이 있는 것 같습니다.
선배: 제가 말하는 동안에는 휴대폰을 잠깐 내려놓아 주실 수 있나요?",항상 이런 식으로 일을 더 복잡하게 만드시네요. 다른 사람들까지 피해 보게 하지 마세요.,부적절,N4,상대를 직접 비난·조롱하거나 인격을 공격하는 표현을 사용함,pragmatic_issue
275,연인,고민·감정 상담,2,"나: 뭔가 신경 쓰이는 일이 있는 것 같아.
연인: 감정이 가라앉을 때까지 메시지는 보내지 않기로 했어","그래. 당장은 그 계획대로 해보고, 필요하면 다시 조정하자. 일정이 가까워지면 한 번 더 확인하자.",적절,P5,과도한 감정 표현 없이도 현재 대화의 목적과 맥락에 맞게 반응함,ok
276,형제·자매,질문·요청,2,"나: 요즘 생각이 많아 보이더라. 괜찮아?
형: 친구에게 먼저 연락하고 싶은데 또 거절당할까 봐 겁나. 내가 너무 걱정하는 걸까?",요즘 정말 마음이 무거웠겠다. 조금 가라앉으면 다음 일을 같이 생각해보자.,적절,P1,상대가 드러낸 감정과 상황을 인정하고 위로하거나 격려함,ok
277,부모님,질문·요청,2,"나: 감정 더 상하기 전에 차분히 얘기하자.
엄마: 다음부터 일정을 바꾸기 전에 먼저 말해줄래?",기본적인 것도 왜 매번 설명해줘야 해? 너랑 이야기하면 항상 답답해.,부적절,N4,상대를 직접 비난·조롱하거나 인격을 공격하는 표현을 사용함,pragmatic_issue
278,부모님,정보 공유,1,아빠: 다음 달부터 관리비 납부일이 25일로 바뀐대,알겠어. 바뀐 일정으로 기억해둘게. 추가로 확인되는 게 있으면 이어서 알려줘.,적절,P5,과도한 감정 표현 없이도 현재 대화의 목적과 맥락에 맞게 반응함,ok
279,부모님,질문·요청,2,"나: 계속 마음에 남는 일이 있는 것 같아.
엄마: 확정되지 않은 내용은 외부에 전달하지 말아줄 수 있어?",네가 제대로 했으면 이런 문제도 없었잖아. 자꾸 사람을 실망시키네.,부적절,N4,상대를 직접 비난·조롱하거나 인격을 공격하는 표현을 사용함,pragmatic_issue
280,형제·자매,질문·요청,3,"형: 변경된 부분이 하나 있어.
나: 다른 변경 사항은 없어?
형: 이번 일정은 다음 주부터 적용되는 게 맞아?","응, 현재 기준은 그렇게 알고 있어. 필요하면 그때 다시 조정하자.",적절,P5,과도한 감정 표현 없이도 현재 대화의 목적과 맥락에 맞게 반응함,ok
281,선후배,업무 대화,2,"나: 아까 말씀하신 계획은 그대로인가요?
후배: 이번 주에는 로그인 오류부터 우선 확인하기로 했습니다",알겠습니다. 변경된 일정에 맞춰 준비하겠습니다. 관련된 사람에게도 같은 내용으로 전달하겠습니다.,적절,P5,과도한 감정 표현 없이도 현재 대화의 목적과 맥락에 맞게 반응함,ok
282,형제·자매,정보 공유,2,"나: 요즘 잠도 잘 못 자는 것 같던데 괜찮아?
언니: 이사 날짜가 확정됐는데 준비할 시간이 부족해 보여서 불안해",그걸 계속 신경 쓸 필요가 있어? 결국 마음먹기 나름이야.,부적절,N2,상대의 감정이나 어려움을 축소·무시하거나 유난으로 취급함,pragmatic_issue
283,친구,질문·요청,1,친구: 내 물건을 쓸 때는 짧게라도 알려줄래?,생각을 조금만 했어도 이런 일은 안 생겼어. 대체 언제쯤 제대로 할 거야?,부적절,N4,상대를 직접 비난·조롱하거나 인격을 공격하는 표현을 사용함,pragmatic_issue
284,친구,일상 대화,3,"친구: 전에 궁금해하던 내용 확인해봤어.
나: 그 뒤에는 어떻게 했어?
친구: 어제 혼자 전시회에 갔는데 천천히 볼 수 있어서 오히려 좋았어",생각보다 기억에 남는 일이었나 보네. 다음에도 해보고 싶은 경험이었는지 궁금해. 작품 중에서 제일 오래 보고 온 건 뭐였어?,적절,P4,상대의 말에 자연스럽게 호응하고 관련된 질문으로 대화를 이어감,ok
286,형제·자매,고민·감정 상담,2,"나: 요즘 좀 지쳐 보이는데 괜찮아?
언니: 요즘은 퇴근하고 집에 오면 아무것도 하고 싶지 않아","응, 조금 더 들어보고 싶어. 네 입장에서 어떤 점이 힘든지 궁금해. 요즘 특히 더 힘들게 느껴지는 순간이 언제야?",적절,P4,상대의 말에 자연스럽게 호응하고 관련된 질문으로 대화를 이어감,ok
287,직장 관계(상사·동료),고민·감정 상담,2,"나: 아까 문의하실 내용이 있다고 들었어요.
팀장: 결정을 못 내리겠어. 제가 정리한 장단점을 같이 봐주실 수 있나요?",나중에 생각나면 답하겠습니다. 일단 다른 방법부터 찾아봐.,부적절,N3,상대의 질문이나 요청에 답하지 않고 회피하거나 떠넘김,pragmatic_issue
289,부모님,고민·감정 상담,1,엄마: 이번 평가 결과가 기대보다 안 좋아서 자신감이 떨어졌어,그랬구나. 요즘 많이 지쳤나 보네. 지금은 해결보다 이야기를 듣는 게 먼저인 것 같아. 요즘 특히 더 힘들게 느껴지는 순간이 언제야?,적절,P4,상대의 말에 자연스럽게 호응하고 관련된 질문으로 대화를 이어감,ok
290,형제·자매,질문·요청,2,"나: 아까 이야기한 계획은 그대로야?
언니: 토요일과 일요일 중 어느 날이 더 편해?",내 일정은 일요일이 더 여유 있어. 그 내용은 내가 메모해둘게.,적절,P5,과도한 감정 표현 없이도 현재 대화의 목적과 맥락에 맞게 반응함,ok
291,연인,갈등 상황,2,"나: 아까부터 마음에 걸리는 게 있는 것 같아.
연인: 같은 일이 반복되니까 내가 존중받지 못하는 기분이야.",그렇게 느끼게 해서 미안해. 어떤 일이 반복됐는지 말해주면 제대로 듣고 고칠게.,적절,P1,상대가 드러낸 감정과 상황을 인정하고 위로하거나 격려함,ok
292,형제·자매,갈등 상황,3,"형: 서로 오해한 부분이 있는 것 같아.
나: 응, 네 입장부터 말해봐.
형: 팀원이 내 의견을 무시할 때 회의에서 어떻게 말하는 게 좋을까?","가장 먼저 지금 확인할 수 있는 사실과 원하는 결과를 먼저 나눈 뒤, 바로 실행할 수 있는 한 가지부터 시작해봐. 우선순위가 애매하면 마감과 영향 범위부터 비교해봐.",적절,P3,상황에 맞는 구체적인 정보나 실행 가능한 조언을 제공함,ok
293,친구,갈등 상황,4,"나: 아까 일은 그냥 넘기지 말고 얘기하자.
친구: 나도 아까 일은 짚고 넘어가고 싶어.
나: 어떤 부분이 가장 불편했어?
친구: 대화할 때 내 말을 자꾸 끊어서 속상했어",많이 긴장되고 부담됐겠다. 필요하면 내가 옆에서 같이 정리해볼게.,적절,P1,상대가 드러낸 감정과 상황을 인정하고 위로하거나 격려함,ok
294,부모님,질문·요청,2,"나: 아빠, 스마트폰으로 병원 예약하는 거 어려워?
아빠: 응. 진료과를 고른 다음에는 어디를 눌러야 하는지 모르겠어.",병원과 날짜를 고른 뒤 시간 선택 버튼을 누르면 돼. 화면 보면서 같이 해보자.,적절,P3,상황에 맞는 구체적인 정보나 실행 가능한 조언을 제공함,ok
295,부모님,질문·요청,2,"나: 혼자 하다가 막힌 게 있어?
엄마: 내일 면접 전에 자기소개 한번 들어봐 줄래?",지금 꼭 정해야 해? 일단 다른 방법부터 찾아봐.,부적절,N3,상대의 질문이나 요청에 답하지 않고 회피하거나 떠넘김,pragmatic_issue
296,선후배,고민·감정 상담,2,"나: 아까 연락 주신 이유가 부탁할 내용 때문인가요?
선배: 오늘은 혼자 있고 싶지 않은데 잠깐 통화해주실 수 있나요?",그 얘기는 다음에 하죠. 일단 다른 방법부터 찾아봐.,부적절,N3,상대의 질문이나 요청에 답하지 않고 회피하거나 떠넘김,pragmatic_issue
297,형제·자매,질문·요청,3,"동생: 혼자 해보다가 잘 안 되는 게 있어.
나: 언제까지 필요한데?
동생: 이번 주 일정표에서 바뀐 담당자를 반영해줄래?",일단 넘어가고 다른 얘기하자. 일단 다른 방법부터 찾아봐.,부적절,N3,상대의 질문이나 요청에 답하지 않고 회피하거나 떠넘김,pragmatic_issue
298,친구,질문·요청,2,"나: 확인해줬으면 하는 게 있어?
친구: 내일 면접 전에 자기소개 한번 들어봐 줄래?","응, 보내줘. 표현이 어색한 부분까지 같이 확인해줄게. 진행 상태도 중간에 알려줄게. 진행하면서 문제가 생기면 먼저 이야기할게.",적절,P2,상대의 질문이나 요청에 직접 답하고 필요한 행동을 분명히 약속함,ok
299,선후배,일상 대화,4,"나: 요즘 기운이 없어 보이는데 괜찮아?
후배: 집에만 있으면 괜히 기분이 가라앉는 날이 많아졌어요.
나: 최근에 무슨 일이 있었어?
후배: 특별한 일은 없는데 혼자 있는 시간이 길어져서 그런가 봐요.",혼자 있는 시간이 길어서 더 가라앉았나 보다. 이번 주에는 잠깐이라도 밖에서 같이 밥 먹자.,적절,P1,상대가 드러낸 감정과 상황을 인정하고 위로하거나 격려함,ok
300,연인,갈등 상황,3,"연인: 아까 일 때문에 계속 마음이 안 좋아.
나: 어떤 부분이 가장 불편했어?
연인: 내가 한 일을 사람들 앞에서 농담처럼 말한 게 싫었어.",그 정도 농담도 못 넘겨? 다른 사람들은 아무렇지도 않았는데 너만 너무 예민해.,부적절,N2,상대의 감정이나 어려움을 축소·무시하거나 유난으로 취급함,pragmatic_issue
301,선후배,업무 대화,2,"나: 필요한 도움이 있으면 말씀해주세요.
후배: 신입에게 전달할 인수인계 문서를 같이 확인해주실래요?","몰라, 네가 알아서 해요. 일단 다른 방법부터 찾아봐.",부적절,N3,상대의 질문이나 요청에 답하지 않고 회피하거나 떠넘김,pragmatic_issue
302,형제·자매,업무 대화,2,"나: 계속 마음에 남는 일이 있는 것 같아.
언니: 내가 보낸 자료를 확인하지 않고 빠졌다고 한 건 속상했어.",다음에는 나도 똑같이 해줄 테니까 기억해. 이번엔 절대 조용히 넘어가지 않을 거야.,부적절,N5,위협·보복·관계 단절 등을 언급해 갈등을 불필요하게 확대함,pragmatic_issue
303,연인,갈등 상황,1,연인: 사과를 받았지만 마음이 안 풀릴 때는 어떤 식으로 대화를 이어가야 할까?,"우선 잘잘못부터 따지기보다 불편했던 행동과 다음부터 원하는 기준을 구체적으로 말하고, 상대 설명도 끝까지 들어봐. 대화가 격해지면 잠깐 멈추고 다시 이야기할 시간을 정해봐.",적절,P3,상황에 맞는 구체적인 정보나 실행 가능한 조언을 제공함,ok
304,부모님,고민·감정 상담,4,"나: 요즘 잠도 잘 못 자는 것 같던데 괜찮아?
아빠: 혼자 정리해보려 했는데 잘 안 되더라.
나: 언제부터 그렇게 느꼈어?
아빠: 오랫동안 준비한 일이 끝났는데 오히려 허무한 기분이 들어",계속 마음에 걸렸겠네. 그 상황이 왜 마음에 남는지 이해돼. 그중에서 네가 가장 기억에 남는 건 뭐야?,적절,P4,상대의 말에 자연스럽게 호응하고 관련된 질문으로 대화를 이어감,ok
305,연인,정보 공유,3,"연인: 요즘 같은 생각이 자꾸 반복돼.
나: 응, 내가 듣고 있을게.
연인: 면접 결과가 금요일에 나온다는데 자꾸 신경이 쓰여",그 정도로까지 마음 쓸 일은 아닌 것 같은데. 그 얘기를 언제까지 할 건데?,부적절,N2,상대의 감정이나 어려움을 축소·무시하거나 유난으로 취급함,pragmatic_issue
306,직장 관계(상사·동료),갈등 상황,3,"선임: 그냥 넘어가면 계속 마음에 남을 것 같아요.
나: 어떻게 정리하면 좋을까요?
선임: 고객사에 확정되지 않은 내용을 먼저 전달하시면 곤란합니다",계속 말이 통하지 않으면 더 이상 연락하지 맙시다. 이제부터는 저도 배려할 생각이 없습니다.,부적절,N5,위협·보복·관계 단절 등을 언급해 갈등을 불필요하게 확대함,pragmatic_issue
307,부모님,정보 공유,4,"나: 혼자 판단하기 어려운 일이 있어?
엄마: 선택지가 여러 개라 기준을 못 잡겠어.
나: 지금까지 해본 건 뭐가 있어?
엄마: 면접 결과가 다음 주로 미뤄졌대. 그동안 준비를 계속하는 게 좋을까?","내 생각에는 지금 확인할 수 있는 사실과 원하는 결과를 먼저 나눈 뒤, 바로 실행할 수 있는 한 가지부터 시작해봐. 필요한 정보가 부족하면 추측하기보다 먼저 확인해봐.",적절,P3,상황에 맞는 구체적인 정보나 실행 가능한 조언을 제공함,ok
309,친구,고민·감정 상담,1,친구: 계속 내가 먼저 연락하는 것 같아서 관계가 한쪽으로 기운 느낌이야,정말 책임감이 없는 것 같아. 말해봤자 또 똑같겠지.,부적절,N4,상대를 직접 비난·조롱하거나 인격을 공격하는 표현을 사용함,pragmatic_issue
310,형제·자매,갈등 상황,2,"나: 아까 할 말이 있다고 했지?
언니: 응. 내 이야기를 다른 사람에게 전하기 전에는 꼭 나한테 먼저 물어봐 줘.","알겠어. 앞으로는 먼저 네 의사를 확인하고, 싫다고 하면 이야기하지 않을게.",적절,P2,상대의 질문이나 요청에 직접 답하고 필요한 행동을 분명히 약속함,ok
311,연인,갈등 상황,4,"나: 아까부터 말이 없는데 무슨 일 있어?
연인: 계속 신경 쓰이는 일이 있어.
나: 나 때문에 그런 거야?
연인: 내가 한 일을 사람들 앞에서 가볍게 말한 게 기분 나빴어.",사람들 앞에서 네 이야기를 가볍게 한 건 미안해. 다음부터는 먼저 네 의사를 확인할게.,적절,P1,상대가 드러낸 감정과 상황을 인정하고 위로하거나 격려함,ok
312,선후배,고민·감정 상담,3,"선배: 제가 생각한 방향이 맞는지 여쭤보고 싶어요.
나: 선택지가 어떻게 되나요?
선배: 자꾸 다른 사람과 비교하게 될 때는 뭘 해보는 게 좋을까요?","이 경우에는 지금 확인할 수 있는 사실과 원하는 결과를 먼저 나눈 뒤, 바로 실행할 수 있는 한 가지부터 시작해봐. 한 번에 결론을 내리기보다 네가 원하는 점부터 짧게 정리해봐.",적절,P3,상황에 맞는 구체적인 정보나 실행 가능한 조언을 제공함,ok
313,친구,질문·요청,3,"친구: 혼자 해보다가 잘 안 되는 게 있어.
나: 언제까지 필요한데?
친구: 오는 길에 약국에 들러서 소화제 하나만 사다 줄래?",지금은 좀 바빠. 나중에 보자. 내가 아니어도 해결할 수 있을 거야.,부적절,N3,상대의 질문이나 요청에 답하지 않고 회피하거나 떠넘김,pragmatic_issue
314,친구,일상 대화,4,"나: 요즘 계속 바빠 보이는데 제대로 쉬고 있어?
친구: 이번 달은 약속이 계속 겹쳐서 주말에도 쉴 틈이 없어.
나: 취소하거나 미룰 수 있는 일정은 없어?
친구: 다 오래전에 잡은 약속이라 그것도 어렵네.",계속 사람을 만나느라 혼자 쉴 시간이 없었구나. 다음 주말만큼은 일정 잡지 말고 푹 쉬어.,적절,P1,상대가 드러낸 감정과 상황을 인정하고 위로하거나 격려함,ok
315,선후배,업무 대화,4,"나: 회의에서 나온 내용은 어떻게 정리됐나요?
후배: 진행하면서 새로 확인한 내용이 있어요.
나: 문제는 해결됐나요?
후배: 테스트 환경에서 재현되던 오류가 더 이상 발생하지 않아요",잘 마무리된 것 같네요. 후속 작업에 영향이 있는지도 궁금합니다. 준비하거나 수정한 것 중에서 가장 도움이 된 부분은 뭐였어?,적절,P4,상대의 말에 자연스럽게 호응하고 관련된 질문으로 대화를 이어감,ok
316,부모님,고민·감정 상담,3,"아빠: 요즘 친구들을 만나도 이상하게 혼자인 기분이 든다.
나: 같이 있어도 대화가 잘 안 통하는 것 같아?
아빠: 다들 자기 얘기만 하니까 내 이야기는 꺼내기가 어렵더라.",같이 있어도 외롭게 느껴졌겠네. 다음에 만나면 아빠 이야기도 편하게 해봐. 내가 먼저 들어줄게.,적절,P1,상대가 드러낸 감정과 상황을 인정하고 위로하거나 격려함,ok
317,직장 관계(상사·동료),갈등 상황,2,"나: 아까 일은 그냥 넘기지 말고 이야기했으면 합니다.
팀장: 일정 변경은 앞으로 단체방에 먼저 공유하는 걸로 하자",알겠어. 앞으로는 방금 정한 기준대로 하죠. 다른 내용은 그대로 두면 됩니다.,적절,P5,과도한 감정 표현 없이도 현재 대화의 목적과 맥락에 맞게 반응함,ok
318,직장 관계(상사·동료),업무 대화,4,"나: 현재 기준으로 결정된 내용이 있나요?
선임: 관련된 분들과 이야기해서 정리했습니다.
나: 네, 어떻게 정해졌나요?
선임: 수정본은 오늘 퇴근 전까지 공유하겠습니다","네, 전달해주신 내용대로 업무를 진행하겠습니다. 변경 사항이 생기면 다시 알려주세요.",적절,P5,과도한 감정 표현 없이도 현재 대화의 목적과 맥락에 맞게 반응함,ok
319,부모님,질문·요청,1,엄마: 오늘 늦게 들어갈 것 같은데 택배 오면 받아줄래?,그건 잘 모르겠고 일단 네가 해봐. 내가 아니어도 해결할 수 있을 거야.,부적절,N3,상대의 질문이나 요청에 답하지 않고 회피하거나 떠넘김,pragmatic_issue
320,부모님,갈등 상황,2,"나: 서로 불편했던 부분은 한번 정리했으면 해.
아빠: 대화할 때 내 말을 자꾸 끊어서 속상했어",그 말을 꺼내는 것도 쉽지 않았겠다. 네 마음부터 챙기는 게 먼저인 것 같아.,적절,P1,상대가 드러낸 감정과 상황을 인정하고 위로하거나 격려함,ok
321,연인,정보 공유,1,연인: 이사 날짜가 확정됐는데 준비할 시간이 부족해 보여서 불안해,그냥 잊으면 되는 일을 왜 계속 생각해? 계속 생각한다고 달라지는 것도 없잖아.,부적절,N2,상대의 감정이나 어려움을 축소·무시하거나 유난으로 취급함,pragmatic_issue
322,친구,질문·요청,2,"나: 아까 이야기한 계획은 그대로야?
친구: 예약 인원은 네 명으로 넣으면 되는 거지?",맞아. 예약 인원은 네 명이야. 현재 기준에서는 더 정할 건 없어.,적절,P5,과도한 감정 표현 없이도 현재 대화의 목적과 맥락에 맞게 반응함,ok
324,선후배,질문·요청,3,"선배: 그냥 넘어가면 계속 마음에 남을 것 같아요.
나: 서로 합의해야 할 기준이 무엇이라고 생각하시나요?
선배: 문제가 생기면 공개적으로 지적하기 전에 먼저 이야기해주실 수 있나요?",이대로면 책임 소재를 공식적으로 따지겠습니다. 나중에 후회하셔도 소용없습니다.,부적절,N5,위협·보복·관계 단절 등을 언급해 갈등을 불필요하게 확대함,pragmatic_issue
325,친구,정보 공유,4,"나: 그 일은 결국 어떻게 하기로 했어?
친구: 현재 상황만 간단히 알려줄게.
나: 그래, 현재 상황이 어떻게 돼?
친구: 병원 예약은 다음 주 화요일 오전 열 시로 잡혔어",확인됐구나. 일정이 가까워지면 다시 한 번 확인하자. 시간이나 준비해야 할 내용도 같이 바뀐 건 없어?,적절,P4,상대의 말에 자연스럽게 호응하고 관련된 질문으로 대화를 이어감,ok
327,연인,갈등 상황,3,"연인: 내가 불편했던 부분을 말하고 싶어.
나: 응, 차분히 들어볼게.
연인: 사과는 받았지만 왜 그렇게 했는지 이해가 안 돼서 답답해",계속 신경 쓰였을 텐데 잘 말해줬어. 필요하면 내가 옆에서 같이 정리해볼게.,적절,P1,상대가 드러낸 감정과 상황을 인정하고 위로하거나 격려함,ok
328,부모님,고민·감정 상담,2,"나: 요즘 잠도 잘 못 자는 것 같던데 괜찮아?
아빠: 일을 쉬고 있는데 앞으로 뭘 해야 할지 막막해",조금 덜 예민하게 받아들여. 그냥 바쁘게 지내면 금방 잊어.,부적절,N2,상대의 감정이나 어려움을 축소·무시하거나 유난으로 취급함,pragmatic_issue
329,친구,고민·감정 상담,1,친구: 부모님과 진로 얘기만 하면 자꾸 다투게 돼서 답답해,네가 유난스러운 게 아니라 충분히 힘들 만한 일이야. 한 번의 결과로 네 노력이 사라지는 건 아니야.,적절,P1,상대가 드러낸 감정과 상황을 인정하고 위로하거나 격려함,ok
330,형제·자매,정보 공유,4,"나: 확인해야 할 내용은 다 정리됐어?
언니: 확인된 내용이 있어서 말해두려고.
나: 그럼 다음에는 뭘 하면 돼?
언니: 병원 예약은 다음 주 화요일 오전 열 시로 잡혔어","좋아, 그 내용은 기억해둘게. 관련해서 준비할 게 있는지도 봐야겠다. 시간이나 준비해야 할 내용도 같이 바뀐 건 없어?",적절,P4,상대의 말에 자연스럽게 호응하고 관련된 질문으로 대화를 이어감,ok
331,선후배,업무 대화,3,"후배: 제가 놓친 부분이 있는지 봐주셨으면 합니다.
나: 제가 할 수 있는 일인지 말씀해주세요.
후배: 배포 전에 로그인 기능을 한 번 더 테스트해주시겠어요?","응, 제가 맡아서 확인해보겠습니다. 필요한 시간에 맞춰둘게.",적절,P2,상대의 질문이나 요청에 직접 답하고 필요한 행동을 분명히 약속함,ok
